"";"Model";"OR";"CI_lower";"CI_upper";"Pvalue"
"1";"Unadjusted";2,86148325358852;1,67335509976525;4,82804660802173;9,48945441957188e-05
"2";"Adjusted";2,20272941775422;1,22282734577071;3,93080704761958;0,00782575418778353
